1;560;09:20;
2;580;09:40;
3;600;10:00;
4;620;10:20;
5;640;10:40;
6;660;11:00;
7;680;11:20;
8;700;11:40;
9;720;12:00;
10;740;12:20;
11;760;12:40;
12;780;13:00;
13;800;13:20;
14;820;13:40;
15;840;14:00;
16;860;14:20;
17;880;14:40;
18;900;15:00;
;;
#prio 4;;
