u11m_a;aut1;bru1;
u11m_c;aut3;cug3;
u11m_b;aut2;tou2;
u11m_b;stj2;tou2;
u11f_c;gimo;last;
u11m_b;bru2;tou2;
u11f_c;last;net3;
u11f_a;ast1;net1;
u11m_c;aut3;lab1;
u11f_a;cug1;net1;
u11f_c;frou;net3;
u11m_c;cug3;lav1;
u11f_a;auc1;cug1;
u11m_a;cug1;tou1;
u11m_d;cass;lab2;
u11m_d;lav2;vill;
u11m_c;cug3;fro1;
u11m_d;cass;lav2;
u11m_d;fro2;lab2;
u11f_b;ast2;auc2;
u11m_c;fro1;lav1;
u11m_d;fro2;vill;
u11f_b;auc2;tou2;
u11f_a;ast1;auc1;
u11f_a;cug1;tou1;
u11f_a;auc1;net1;
u11m_b;cug2;stj2;
u11f_c;frou;last;
u11f_b;ast2;tou2;
u11f_b;net2;tou2;
u11m_a;aut1;tou1;
u11f_a;ast1;cug1;
u11f_c;gimo;net3;
u11m_a;bru1;stj1;
u11f_c;brug;net3;
u11f_b;ast2;cug2;
u11m_a;cug1;stj1;
u11f_b;cug2;net2;
u11m_a;stj1;tou1;
u11f_b;cug2;tou2;
u11m_d;cass;fro2;
u11m_d;lab2;lav2;
u11f_c;brug;frou;
u11m_b;aut2;bru2;
u11m_b;cug2;tou2;
u11f_c;brug;last;
u11m_a;bru1;cug1;
u11f_b;auc2;net2;
u11f_b;ast2;net2;
u11m_d;fro2;lav2;
u11m_c;lab1;lav1;
u11m_c;aut3;fro1;
u11m_a;aut1;stj1;
u11m_b;bru2;cug2;
u11f_c;frou;gimo;
u11m_a;bru1;tou1;
u11m_c;aut3;lav1;
u11m_d;lab2;vill;
u11f_a;ast1;tou1;
u11f_b;auc2;cug2;
u11f_a;net1;tou1;
u11m_a;aut1;cug1;
u11m_c;fro1;lab1;
u11f_a;auc1;tou1;
u11f_c;brug;gimo;
u11m_b;aut2;stj2;
u11m_d;cass;vill;
u11m_b;aut2;cug2;
u11m_b;bru2;stj2;
u11m_c;cug3;lab1;
