u11f;lave;vil2;
u11m_b;lar1;vill;
u11m_a;net2;toa1;
u11m_a;cug1;net2;
u11m_a;cug1;mont;
u11m_c;net1;stjo;
u11m_b;lar1;otb;
u11m_a;mont;net2;
u11m_c;stjo;toa2;
u11m_a;cug1;toa1;
u11m_b;cug2;vill;
u11f;cugn;vil1;
u11f;cugn;vil2;
u11m_a;mont;toa1;
u11f;mont;vil2;
u11m_b;cug2;lar1;
u11f;vil1;vil2;
u11f;lave;mont;
u11f;lard;vil1;
u11m_c;lar2;stjo;
u11f;mont;vil1;
u11f;cugn;mont;
u11f;lard;vil2;
u11f;cugn;lave;
u11f;lave;vil1;
u11f;lard;lave;
u11f;cugn;lard;
u11m_b;cug2;otb;
u11f;lard;mont;
u11m_c;lar2;toa2;
u11m_c;net1;toa2;
u11m_c;lar2;net1;
u11m_b;otb;vill;
