u9_b;stj2;tou2;
u9_a;cug3;net1;
u9_b;cas2;tou2;
u9_b;tou2;vil3;
u7;lab1;net1;
u9_b;cas2;vil2;
u9_b;lab2;stj2;
u7;ast2;cug2;
u7;lab1;net2;
u9_a;cug1;lab1;
u7;cug2;net1;
u9_b;cug2;vil2;
u9_b;lab2;net2;
u9_b;cug2;tou2;
u7;ast2;lab2;
u9_a;cug1;stj1;
u7;cug1;net2;
u7;cug1;lab2;
u9_a;cas1;lab1;
u9_a;lab1;stj1;
u7;ast1;net1;
u9_a;cas1;net1;
u9_a;cug1;vil1;
u9_a;cas1;vil1;
u9_a;cug3;lab1;
u9_a;cas1;tou1;
u7;gim;lab2;
u7;cug2;gim;
u7;gim;net1;
u7;ast1;gim;
u9_b;cug2;stj2;
u9_b;cas2;stj2;
u9_a;net1;tou1;
u9_b;net2;vil2;
u9_b;cug2;net2;
u7;lab2;net2;
u7;ast2;gim;
u7;ast1;cug1;
u9_a;stj1;vil1;
u9_b;cug2;vil3;
u7;ast2;cug1;
u7;ast2;net2;
u9_b;lab2;vil2;
u9_a;lab1;net1;
u7;cug2;net2;
u7;cug1;gim;
u9_a;tou1;vil1;
u9_a;cug1;net1;
u9_b;net2;stj2;
u7;ast1;net2;
u9_b;net2;tou2;
u9_b;cas2;vil3;
u9_b;lab2;vil3;
u9_a;lab1;vil1;
u7;cug1;lab1;
u9_b;cas2;cug2;
u9_b;cas2;net2;
u7;ast1;lab2;
u9_a;cas1;stj1;
u7;gim;lab1;
u9_b;lab2;tou2;
u7;lab2;net1;
u9_a;lab1;tou1;
u9_a;stj1;tou1;
u7;gim;net2;
u9_a;net1;stj1;
u9_a;cug1;tou1;
u7;cug1;net1;
u9_b;cug2;lab2;
u9_b;stj2;vil3;
u9_a;net1;vil1;
u7;ast2;lab1;
u9_b;stj2;vil2;
u9_b;cas2;lab2;
u9_b;tou2;vil2;
u9_a;cas1;cug3;
u9_a;cug3;stj1;
u9_b;net2;vil3;
u7;cug2;lab1;
u7;ast1;lab1;
u7;ast1;cug2;
u7;ast2;net1;
u9_a;cug3;vil1;
u9_a;cas1;cug1;
u9_a;cug3;tou1;
u7;cug2;lab2;
